% isAttack HIGH_RATE:	296
% isAttack LOW_RATE:	296
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-V-R4,12,29,40-weka.filters.unsupervised.attribute.Remove'

@attribute total_bvolume numeric
@attribute std_bpktl numeric
@attribute std_idle numeric
@attribute isAttack {HIGH_RATE,LOW_RATE}

@data
60,0,3173802,HIGH_RATE
46932,5,0,HIGH_RATE
60,0,6145543,HIGH_RATE
0,0,0,HIGH_RATE
35596,5,1660955,HIGH_RATE
34820,6,0,HIGH_RATE
115158,11,0,HIGH_RATE
39484,6,0,HIGH_RATE
126990,11,0,HIGH_RATE
39144,5,0,HIGH_RATE
42320,5,0,HIGH_RATE
60,0,9975787,HIGH_RATE
60,0,5995200,HIGH_RATE
41644,5,0,HIGH_RATE
40220,5,0,HIGH_RATE
60,0,1107840,HIGH_RATE
60,0,2542093,HIGH_RATE
51140,6,0,HIGH_RATE
32340,5,0,HIGH_RATE
146714,10,0,HIGH_RATE
31908,6,0,HIGH_RATE
34144,6,0,HIGH_RATE
42920,5,0,HIGH_RATE
39660,5,0,HIGH_RATE
60,0,5615889,HIGH_RATE
60,0,2640607,HIGH_RATE
35656,6,0,HIGH_RATE
60,0,2935672,HIGH_RATE
39984,5,0,HIGH_RATE
37168,5,0,HIGH_RATE
41196,6,0,HIGH_RATE
44636,5,0,HIGH_RATE
60,0,5149897,HIGH_RATE
38380,5,0,HIGH_RATE
32980,6,0,HIGH_RATE
60,0,2281468,HIGH_RATE
52608,5,0,HIGH_RATE
35312,6,0,HIGH_RATE
60,0,537333,HIGH_RATE
60,0,2609445,HIGH_RATE
30976,5,0,HIGH_RATE
60,0,5652052,HIGH_RATE
28744,5,0,HIGH_RATE
60,0,5951889,HIGH_RATE
60,0,8947386,HIGH_RATE
60,0,1377597,HIGH_RATE
44012,5,0,HIGH_RATE
37888,6,0,HIGH_RATE
37808,6,0,HIGH_RATE
39364,6,0,HIGH_RATE
124082,11,0,HIGH_RATE
32968,6,0,HIGH_RATE
34036,6,0,HIGH_RATE
41524,5,0,HIGH_RATE
50416,5,0,HIGH_RATE
49928,6,0,HIGH_RATE
40964,5,0,HIGH_RATE
33996,5,0,HIGH_RATE
34004,6,0,HIGH_RATE
111314,12,0,HIGH_RATE
31872,6,1552343,HIGH_RATE
40056,6,0,HIGH_RATE
34760,6,0,HIGH_RATE
43576,6,0,HIGH_RATE
60,0,2392926,HIGH_RATE
29708,6,0,HIGH_RATE
38104,5,0,HIGH_RATE
38056,5,0,HIGH_RATE
103882,12,0,HIGH_RATE
35300,6,0,HIGH_RATE
39240,5,0,HIGH_RATE
32972,5,0,HIGH_RATE
37044,5,0,HIGH_RATE
38336,5,0,HIGH_RATE
33336,6,0,HIGH_RATE
36656,5,0,HIGH_RATE
60,0,1313447,HIGH_RATE
37336,5,0,HIGH_RATE
40300,5,0,HIGH_RATE
34604,6,0,HIGH_RATE
37672,6,0,HIGH_RATE
104610,13,848105,HIGH_RATE
31128,5,2549709,HIGH_RATE
28732,5,6290887,HIGH_RATE
33592,6,0,HIGH_RATE
60,0,2188385,HIGH_RATE
33708,5,0,HIGH_RATE
60,0,1598935,HIGH_RATE
32380,5,0,HIGH_RATE
43372,6,0,HIGH_RATE
33400,5,2319067,HIGH_RATE
44684,6,0,HIGH_RATE
153062,10,0,HIGH_RATE
37604,6,0,HIGH_RATE
41052,6,0,HIGH_RATE
122782,11,0,HIGH_RATE
30532,5,0,HIGH_RATE
