@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-V-R1,3,8,21,27-weka.filters.unsupervised.attribute.Remove-V-R1-5-weka.filters.unsupervised.attribute.Remove-V-R1-5-weka.filters.unsupervised.attribute.Remove-V-R1-5'

@attribute duration numeric
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {normal,highrate,lowrate}

@data
0,SF,1849,0,normal
0,SF,2289,0,normal
0,SF,2185,0,normal
0,SF,2182,0,normal
0,OTH,4758,0.06,normal
0,SF,1378,0,normal
0,SF,3945,0,normal
0,OTH,3490,0.09,normal
0,SF,1836,0,normal
0,SF,2054,0,normal
0,OTH,5271,0.05,normal
0,SF,2165,0,normal
0,OTH,2921,0.15,normal
0,SF,3347,0,normal
0,SF,3285,0,normal
0,OTH,2899,0.12,normal
0,SF,779,0,normal
0,SF,886,0,normal
0,SF,2362,0,normal
0,OTH,3500,0.12,normal
0,SF,2239,0,normal
0,OTH,3315,0.04,normal
0,OTH,5230,0.02,normal
0,SF,3365,0,normal
0,SF,2213,0,normal
0,OTH,2941,0.17,normal
0,OTH,3678,0.04,normal
0,OTH,3447,0,normal
0,OTH,6231,0.11,normal
0,SF,2724,0,normal
0,SF,2013,0,normal
0,SF,1146,0,normal
0,SF,2287,0,normal
0,SF,3091,0,normal
0,OTH,3825,0.07,normal
0,SF,2144,0,normal
0,SF,1935,0,normal
0,SF,1488,0,normal
0,SF,2095,0,normal
0,SF,2228,0,normal
0,RSTR,3071,0,normal
0,SF,2882,0,normal
0,OTH,5857,0.03,normal
0,OTH,6038,0,normal
0,OTH,3144,0.04,normal
0,OTH,2706,0.05,normal
0,OTH,3850,0.02,normal
0,OTH,4988,0,normal
0,SF,1916,0,normal
0,SF,18,0,normal
0,SF,2301,0,normal
0,S1,2404,0,normal
1,SF,2950,0,normal
0,OTH,2749,0.06,normal
0,SF,1665,0,normal
0,OTH,4807,0.08,normal
0,S1,3215,0,normal
0,SF,2389,0,normal
0,SF,2611,0,normal
0,SF,1916,0,normal
0,S3,1885,0,normal
0,OTH,3222,0.15,normal
0,S1,1826,0,normal
0,SF,1314,0,normal
0,SF,2143,0,normal
0,SF,2952,0,normal
0,SF,2172,0,normal
0,OTH,4982,0.02,normal
0,SF,2273,0,normal
0,SF,1979,0,normal
0,OTH,5183,0.08,normal
0,OTH,3606,0.09,normal
0,S1,3504,0,normal
0,SF,4133,0,normal
0,OTH,2781,0.04,normal
0,OTH,5494,0.06,normal
0,SF,3827,0,normal
0,SF,2241,0,normal
0,SF,3885,0,normal
0,SF,2912,0,normal
0,OTH,3117,0,normal
0,OTH,5831,0.03,normal
0,OTH,5472,0,normal
0,OTH,4853,0,normal
0,SF,2012,0,normal
0,OTH,3010,0.07,normal
0,SF,3895,0,normal
0,SF,2507,0,normal
0,OTH,5350,0.09,normal
0,OTH,3025,0.17,normal
0,OTH,3318,0.11,normal
0,OTH,4423,0.15,normal
0,SF,2299,0,normal
0,OTH,3828,0,normal
0,SF,2830,0,normal
0,SF,2075,0,normal
0,S1,2338,0,normal
0,SF,3059,0,normal
0,OTH,2483,0.15,normal
0,SF,2429,0,normal
0,SF,2399,0,normal
0,OTH,3902,0.06,normal
0,SF,2779,0,normal
0,SF,3955,0,normal
0,OTH,3284,0.02,normal
0,OTH,2852,0.11,normal
0,OTH,3373,0.06,normal
0,OTH,5697,0.1,normal
0,SF,2301,0,normal
0,OTH,4975,0.12,normal
0,OTH,3734,0.06,normal
0,OTH,2980,0.1,normal
0,SF,2972,0,normal
0,OTH,3451,0.02,normal
0,SF,2235,0,normal
0,SF,1828,0,normal
0,OTH,2497,0.09,normal
0,SF,2161,0,normal
0,SF,2215,0,normal
0,SF,2183,0,normal
0,OTH,3840,0.05,normal
0,OTH,2207,0.16,normal
14,RSTR,1549,0,normal
0,OTH,5196,0.09,normal
0,SF,2527,0,normal
0,S1,2660,0,normal
0,SF,2890,0,normal
0,OTH,2194,0.11,normal
0,OTH,5739,0,normal
0,SF,2131,0,normal
0,SF,2969,0,normal
0,OTH,3336,0,normal
0,SF,3119,0,normal
0,SF,1560,0,normal
0,SF,3118,0,normal
0,SF,274,0,normal
0,S1,2769,0,normal
0,OTH,5087,0.06,normal
0,SF,905,0,normal
0,OTH,5786,0.19,normal
0,SF,1982,0,normal
0,SF,1116,0,normal
0,SF,3932,0,normal
0,SF,3997,0,normal
0,SF,2046,0,normal
0,SF,3324,0,normal
0,OTH,3577,0.02,normal
0,SF,2133,0,normal
0,SF,3035,0,normal
0,SF,2047,0,normal
0,SF,3116,0,normal
0,OTH,6269,0.16,normal
0,SF,752,0,normal
0,SF,2266,0,normal
0,SF,3879,0,normal
0,SF,3517,0,normal
0,SF,2981,0,normal
0,SF,919,0,normal
0,SF,1851,0,normal
0,OTH,4439,0.06,normal
0,SF,1195,0,normal
0,SF,1860,0,normal
0,OTH,2179,0,normal
0,OTH,3005,0.13,normal
0,OTH,2589,0.01,normal
0,SF,2212,0,normal
0,OTH,2804,0.11,normal
0,OTH,2929,0,normal
0,OTH,3769,0,normal
0,OTH,2498,0.11,normal
0,SF,1859,0,normal
0,SF,3915,0,normal
0,SF,2065,0,normal
0,SF,2516,0,normal
0,SF,5751,0,normal
0,SF,2418,0,normal
0,OTH,3553,0.04,normal
0,SF,2467,0,normal
0,SF,1942,0,normal
0,S3,3290,0,normal
0,S1,2590,0,normal
0,SF,3988,0,normal
0,SF,2308,0,normal
0,SF,1513,0,normal
0,SF,3577,0,normal
0,SF,2150,0,normal
0,SF,2181,0,normal
0,OTH,3845,0.15,normal
0,SF,2111,0,normal
0,SF,3881,0,normal
0,OTH,4063,0,normal
0,OTH,3557,0.13,normal
0,OTH,3125,0.06,normal
0,OTH,4353,0,normal
0,OTH,3293,0.02,normal
0,SF,2770,0,normal
0,OTH,5109,0.16,normal
0,SF,2123,0,normal
0,OTH,2193,0.09,normal
0,SF,2274,0,normal
0,OTH,5733,0.05,normal
0,SF,3318,0,normal
0,OTH,4926,0.21,normal
0,SF,2078,0,normal
0,SF,3948,0,normal
0,SF,1861,0,normal
0,SF,1867,0,normal
0,SF,2192,0,normal
0,OTH,4129,0,normal
0,OTH,6303,0.12,normal
0,SF,3509,0,normal
0,SF,2240,0,normal
0,SF,3305,0,normal
0,SF,3915,0,normal
0,OTH,3143,0.07,normal
0,SF,1974,0,normal
0,SF,3265,0,normal
0,SF,2275,0,normal
0,OTH,5666,0,normal
0,OTH,2553,0.17,normal
0,OTH,2979,0.08,normal
0,S1,3052,0,normal
0,OTH,3130,0,normal
0,SF,2079,0,normal
0,SF,3369,0,normal
0,SF,4044,0,normal
0,OTH,5845,0.02,normal
0,SF,1950,0,normal
0,SF,460,0,normal
0,SF,2066,0,normal
0,OTH,4954,0.08,normal
0,SF,4046,0,normal
0,OTH,4151,0.03,normal
0,SF,3221,0,normal
0,OTH,1948,0.11,normal
0,SF,1853,0,normal
0,SF,2094,0,normal
0,SF,1953,0,normal
0,SF,4008,0,normal
0,SF,3335,0,normal
0,S2,2373,0,normal
0,SF,3072,0,normal
0,OTH,4967,0,normal
0,OTH,2871,0.04,normal
0,OTH,3625,0,normal
0,SF,3718,0,normal
0,SF,2858,0,normal
0,SF,2172,0,normal
0,OTH,3547,0.02,normal
0,SF,45,0,normal
0,OTH,5119,0.04,normal
0,SF,2678,0,normal
0,SF,3927,0,normal
0,OTH,5257,0.15,normal
0,OTH,3790,0,normal
0,OTH,2946,0.14,normal
0,OTH,1570,0.01,normal
0,OTH,4116,0,normal
0,SF,1454,0,normal
0,SF,2721,0,normal
0,SF,2150,0,normal
0,SF,2134,0,normal
0,S2,2905,0,normal
0,OTH,6035,0.05,normal
0,SF,1235,0,normal
0,SF,2557,0,normal
0,OTH,5106,0.06,normal
0,OTH,2797,0.14,normal
0,OTH,4983,0.11,normal
0,OTH,3102,0,normal
0,SF,2091,0,normal
0,SF,3515,0,normal
0,OTH,3727,0.13,normal
0,OTH,1865,0.01,normal
0,SF,4123,0,normal
0,OTH,3226,0.02,normal
0,OTH,3307,0,normal
0,OTH,2650,0,normal
0,OTH,5893,0.12,normal
0,OTH,5898,0,normal
0,SF,2336,0,normal
0,OTH,3933,0,normal
0,OTH,6327,0.33,normal
0,SF,1996,0,normal
0,SF,1879,0,normal
0,OTH,4916,0.02,normal
0,S1,2000,0,normal
0,OTH,2900,0.16,normal
0,SF,1994,0,normal
0,SF,3066,0,normal
0,OTH,5825,0.13,normal
0,OTH,5183,0.13,normal
0,SF,1956,0,normal
0,RSTR,3014,0,normal
0,OTH,5925,0.13,normal
0,SF,1920,0,normal
0,SF,2171,0,normal
0,OTH,4417,0.02,normal
0,OTH,4902,0,normal
0,OTH,2594,0,normal
0,OTH,4937,0.02,normal
0,SF,2138,0,normal
0,OTH,2708,0.06,normal
0,SF,3294,0,normal
0,OTH,5071,0.1,normal
0,OTH,5722,0.04,normal
0,OTH,2974,0.02,normal
0,OTH,5144,0.02,normal
0,SF,4142,0,normal
0,S3,2008,0,normal
0,OTH,3356,0.02,normal
0,SF,1569,0,normal
0,SF,2140,0,normal
0,SF,2269,0,normal
0,OTH,5264,0.08,normal
0,OTH,5047,0,normal
0,OTH,3406,0.02,normal
0,SF,2821,0,normal
0,SF,2441,0,normal
0,SF,2091,0,normal
0,SF,2191,0,normal
0,SF,2970,0,normal
0,OTH,5260,0.03,normal
0,SF,2509,0,normal
0,SF,2229,0,normal
0,SF,4047,0,normal
0,OTH,2846,0.01,normal
0,SF,3254,0,normal
0,OTH,2897,0,normal
0,SF,2072,0,normal
0,SF,1868,0,normal
0,SF,2968,0,normal
0,SF,1964,0,normal
0,SF,2206,0,normal
0,OTH,3240,0.22,normal
0,SF,1850,0,normal
0,OTH,4899,0,normal
0,SF,2262,0,normal
0,OTH,3021,0,normal
0,OTH,4693,0.05,normal
0,SF,2109,0,normal
0,SF,988,0,normal
0,SF,591,0,normal
0,SF,2180,0,normal
0,SF,3321,0,normal
0,SF,1853,0,normal
0,OTH,2756,0.12,normal
0,SF,3823,0,normal
0,SF,4028,0,normal
0,SF,3021,0,normal
0,SF,2076,0,normal
0,OTH,3052,0.1,normal
0,OTH,5845,0.15,normal
0,SF,1712,0,normal
0,SF,1910,0,normal
0,OTH,4787,0.07,normal
0,SF,2949,0,normal
0,OTH,2910,0,normal
0,OTH,5170,0.02,normal
0,OTH,5964,0.07,normal
0,OTH,2877,0.05,normal
0,OTH,3499,0.09,normal
0,SF,2863,0,normal
0,SF,1956,0,normal
0,SF,5915,0,normal
0,SF,2685,0,normal
0,SF,2115,0,normal
0,OTH,3265,0.15,normal
0,SF,589,0,normal
0,SF,3115,0,normal
0,OTH,5064,0.21,normal
0,SF,2062,0,normal
0,OTH,5610,0,normal
0,SF,4049,0,normal
0,OTH,3023,0.13,normal
0,SF,1856,0,normal
0,SF,3682,0,normal
0,SF,74,0,normal
0,SF,1834,0,normal
0,OTH,2950,0.04,normal
0,OTH,3487,0.03,normal
0,SF,1837,0,normal
0,S3,3434,0,normal
0,SF,2154,0,normal
0,SF,2149,0,normal
0,SF,1205,0,normal
0,OTH,3550,0.02,normal
0,OTH,3554,0.08,normal
0,S2,2289,0,normal
0,OTH,3212,0,normal
0,OTH,2828,0.04,normal
0,OTH,4720,0.02,normal
0,SF,3504,0,normal
0,SF,563,0,normal
0,SF,2168,0,normal
0,OTH,2939,0,normal
0,OTH,5158,0,normal
0,OTH,3332,0.06,normal
0,SF,3899,0,normal
0,SF,4081,0,normal
0,SF,1856,0,normal
0,SF,2616,0,normal
0,SF,1662,0,normal
0,OTH,2647,0.12,normal
0,SF,456,0,normal
0,OTH,5650,0.1,normal
0,SF,1887,0,normal
0,OTH,3306,0.09,normal
0,OTH,3499,0.15,normal
0,OTH,3660,0.14,normal
0,OTH,3194,0,normal
0,OTH,3714,0.03,normal
0,OTH,5925,0,normal
0,SF,2297,0,normal
0,SF,3021,0,normal
0,OTH,3478,0.1,normal
0,OTH,5751,0.19,normal
0,OTH,3193,0,normal
0,OTH,6027,0,normal
0,SF,2300,0,normal
0,SF,3162,0,normal
0,SF,2217,0,normal
0,OTH,3785,0.17,normal
0,SF,2519,0,normal
0,SF,3044,0,normal
0,OTH,3564,0,normal
0,SF,2033,0,normal
0,S3,3514,0,normal
0,S3,3199,0,normal
0,OTH,5719,0.09,normal
0,SF,1469,0,normal
0,OTH,2814,0.01,normal
0,OTH,6244,0.04,normal
0,SF,2116,0,normal
0,OTH,3294,0.18,normal
0,OTH,3019,0,normal
0,SF,3892,0,normal
0,OTH,4871,0.16,normal
0,SF,5787,0,normal
0,SF,1239,0,normal
0,OTH,4783,0.19,normal
0,SF,2046,0,normal
0,OTH,5312,0.1,normal
0,SF,2560,0,normal
0,SF,1731,0,normal
0,SF,4033,0,normal
0,SF,266,0,normal
0,SF,2277,0,normal
0,OTH,3172,0.06,normal
0,SF,3064,0,normal
0,SF,2224,0,normal
0,SF,1533,0,normal
0,SF,2234,0,normal
0,SF,3329,0,normal
